"input","output"
"Angry Bad", "He felt angry about bad service."
"Angry Family", "She was angry with her family."
"Angry Food", "The angry chef ruined the food."
"Angry Friend", "His angry words hurt his friend."
"Angry Go", "Don’t go when you're angry."
"Angry Good", "He turned his anger into good."
"Angry Goodbye", "She was angry after the goodbye."
"Angry Happy", "He was angry, then happy again."
"Angry Hello", "His angry hello surprised the guests."
"Angry Help", "Angry, he didn't want to ask for help."
"Angry How", "He asked, 'How can you be so angry?'"
"Angry Love", "He showed anger instead of love."
"Angry Name", "He forgot his name when angry."
"Angry Nice to meet you", "He said, ‘Nice to meet you,’ with anger."
"Angry No", "He shouted 'No' in anger."
"Angry Please", "He forgot to say 'Please' because of his anger."
"Angry Sad", "The angry words made her feel sad."
"Angry Sorry", "He quickly said 'Sorry' to calm the anger."
"Angry Stop", "He yelled 'Stop!' in his anger."
"Angry Thank you", "He said 'Thank you' with an angry tone."
"Angry Want", "Angry, he didn't want anything."
"Angry Washroom", "He rushed to the washroom in anger."
"Angry Water", "He splashed water angrily."
"Angry What", "What happened to make him so angry?"
"Angry When", "When will the anger go away?"
"Angry Where", "Where did the anger come from?"
"Angry Who", "Who made him so angry?"
"Angry Why", "He asked, 'Why am I so angry?'"
"Angry Yes", "He said 'Yes' but with anger."
"Bad Family", "She had a bad argument with her family."
"Bad Food", "The food tasted bad."
"Bad Friend", "He had a bad falling out with his friend."
"Bad Go", "It’s bad to go there at night."
"Bad Good", "The good outcome was overshadowed by the bad."
"Bad Goodbye", "The goodbye felt bad."
"Bad Happy", "He didn’t feel happy after the bad news."
"Bad Hello", "The hello felt awkward and bad."
"Bad Help", "He couldn't ask for help, it was a bad situation."
"Bad How", "How did it get so bad?"
"Bad Love", "Their love turned bad after the fight."
"Bad Name", "That name left a bad impression."
"Bad Nice to meet you", "The greeting felt bad, not nice."
"Bad No", "No one wanted to hear the bad news."
"Bad Please", "Please, stop the bad behavior."
"Bad Sad", "The bad incident made her sad."
"Bad Sorry", "He said sorry but it didn’t fix the bad situation."
"Bad Stop", "She shouted ‘Stop!’ to end the bad argument."
"Bad Thank you", "She said ‘Thank you’ but her tone was bad."
"Bad Want", "He didn’t want anything bad to happen."
"Bad Washroom", "She rushed to the washroom after feeling bad."
"Bad Water", "The water tasted bad."
"Bad What", "What went wrong? It was all so bad."
"Bad When", "When will the bad times end?"
"Bad Where", "Where did the bad event happen?"
"Bad Who", "Who caused this bad situation?"
"Bad Why", "Why did it have to be so bad?"
"Bad Yes", "He agreed, but it felt bad."
"Family Food", "Family gathered to share a big meal of food."
"Family Friend", "She introduced her family to her best friend."
"Family Go", "The family decided to go on a trip together."
"Family Good", "Family support is always good."
"Family Goodbye", "The family said their tearful goodbyes."
"Family Happy", "The family celebrated their happiness together."
"Family Hello", "The family greeted each other with a warm hello."
"Family Help", "Family help is important in tough times."
"Family How", "How does your family handle challenges?"
"Family Love", "Family love is unconditional."
"Family Name", "The family name carried great respect."
"Family Nice to meet you", "It was nice to meet your family."
"Family No", "No one disagreed with the family’s decision."
"Family Please", "Please, take care of your family."
"Family Sad", "The family felt sad after the loss."
"Family Sorry", "They said sorry to the family for their mistake."
"Family Stop", "The family stopped fighting and made peace."
"Family Thank you", "He said thank you for the family’s support."
"Family Want", "She wanted her family to join her in the celebration."
"Family Washroom", "The family restroom was the most popular spot."
"Family Water", "Family members gathered around for water."
"Family What", "What’s your family’s favorite tradition?"
"Family When", "When will the family reunion take place?"
"Family Where", "Where did your family go on vacation?"
"Family Who", "Who is the head of your family?"
"Family Why", "Why do you love your family so much?"
"Family Yes", "Yes, the family agrees on this decision."
"Food Friend", "She offered food to her friend."
"Food Go", "They decided to go out for food."
"Food Good", "The food tasted so good!"
"Food Goodbye", "They said goodbye after the meal."
"Food Happy", "He was happy to share the food with everyone."
"Food Hello", "They greeted each other with food in hand."
"Food Help", "She asked, 'Can you help me with the food?'"
"Food How", "How do you cook this kind of food?"
"Food Love", "He loves to cook and share food."
"Food Name", "The food’s name was too difficult to pronounce."
"Food Nice to meet you", "It was nice to meet you over a meal."
"Food No", "No one wanted the leftover food."
"Food Please", "Please pass the food."
"Food Sad", "The food was cold and it made him sad."
"Food Sorry", "He said sorry after dropping the food."
"Food Stop", "Stop! The food’s burning!"
"Food Thank you", "He said thank you for the delicious food."
"Food Want", "She wanted to try more food."
"Food Washroom", "She ran to the washroom after eating too much food."
"Food Water", "Water is essential to accompany your food."
"Food What", "What’s for food today?"
"Food When", "When do we eat the food?"
"Food Where", "Where can I get this food?"
"Food Who", "Who made the food?"
"Food Why", "Why does the food taste so good?"
"Food Yes", "Yes, I’ll have some more food."
"Friend Go", "She told her friend to go ahead."
"Friend Good", "He said it was good to have a friend like her."
"Friend Goodbye", "They hugged each other and said goodbye."
"Friend Happy", "He was happy to see his friend after a long time."
"Friend Hello", "They greeted each other with a friendly hello."
"Friend Help", "His friend offered help when he needed it."
"Friend How", "How do you know that friend?"
"Friend Love", "They shared a deep love for each other as friends."
"Friend Name", "Her friend’s name slipped her mind for a second."
"Friend Nice to meet you", "It was nice to meet your friend."
"Friend No", "He disagreed with his friend's opinion."
"Friend Please", "Please, bring your friend along."
"Friend Sad", "She felt sad about the argument with her friend."
"Friend Sorry", "He said sorry to his friend for the misunderstanding."
"Friend Stop", "Stop arguing with your friend!"
"Friend Thank you", "He thanked his friend for the thoughtful gift."
"Friend Want", "He wants his friend to join him for dinner."
"Friend Washroom", "She went to the washroom while her friend waited."
"Friend Water", "Her friend handed her a bottle of water."
"Friend What", "What did your friend say?"
"Friend When", "When will you introduce me to your friend?"
"Friend Where", "Where did your friend go?"
"Friend Who", "Who’s that friend of yours?"
"Friend Why", "Why didn’t your friend come?"
"Friend Yes", "Yes, I will ask my friend to help."
"Go Good", "It’s good that you decided to go."
"Go Goodbye", "They said goodbye as they were about to go."
"Go Happy", "He felt happy to go on the trip."
"Go Hello", "He said hello before he had to go."
"Go Help", "Can you help me go to the store?"
"Go How", "How do you go to that place?"
"Go Love", "They both love to go hiking together."
"Go Name", "What’s the name of the place we are going?"
"Go Nice to meet you", "It was nice to meet you before I go."
"Go No", "No, I don’t want to go there."
"Go Please", "Please, go ahead and take your seat."
"Go Sad", "He felt sad about going away."
"Go Sorry", "Sorry, but I have to go now."
"Go Stop", "Stop! Don’t go that way."
"Go Thank you", "Thank you for showing me where to go."
"Go Want", "He wanted to go with her."
"Go Washroom", "He ran to the washroom before they could go."
"Go Water", "They stopped for water before going further."
"Go What", "What time do we go?"
"Go When", "When are we going to leave?"
"Go Where", "Where do you want to go?"
"Go Who", "Who will go with me?"
"Go Why", "Why do you want to go now?"
"Go Yes", "Yes, we can go together."
"Good Goodbye", "It was a good goodbye."
"Good Happy", "He felt good after the happy news."
"Good Hello", "They exchanged a good hello at the door."
"Good Help", "It’s good to help others in need."
"Good How", "How do you feel about the good news?"
"Good Love", "It’s good to love and be loved."
"Good Name", "It’s a good name for a pet."
"Good Nice to meet you", "It was good to meet you."
"Good No", "No, that’s not a good idea."
"Good Please", "Please, make sure to be good."
"Good Sad", "She felt good, even though it was a sad day."
"Good Sorry", "Sorry, I didn’t realize that was a good choice."
"Good Stop", "It’s a good time to stop now."
"Good Thank you", "Thank you for the good work."
"Good Want", "He wants a good result."
"Good Washroom", "The good washroom is just down the hall."
"Good Water", "It’s always good to drink water."
"Good What", "What’s a good place to visit?"
"Good When", "When will it be good to go?"
